time,abgw_fds,instance
25_05_15:25,445,10.253.40.11:44444
25_05_15:30,455,10.253.40.11:44444
25_05_15:35,467,10.253.40.11:44444
25_05_15:40,475,10.253.40.11:44444
25_05_15:45,504,10.253.40.11:44444
25_05_15:50,488,10.253.40.11:44444
25_05_15:55,556,10.253.40.11:44444
25_05_15:00,553,10.253.40.12:44444
25_05_15:05,544,10.253.40.12:44444
25_05_15:10,586,10.253.40.12:44444
25_05_15:15,651,10.253.40.12:44444
25_05_15:20,629,10.253.40.12:44444
25_05_15:25,560,10.253.40.12:44444
25_05_15:30,583,10.253.40.12:44444
25_05_15:35,590,10.253.40.12:44444
25_05_15:40,541,10.253.40.12:44444
25_05_15:45,560,10.253.40.12:44444
25_05_15:50,545,10.253.40.12:44444
25_05_15:55,581,10.253.40.12:44444
25_05_15:00,507,10.253.40.13:44444
25_05_15:05,525,10.253.40.13:44444
25_05_15:10,520,10.253.40.13:44444
25_05_15:15,512,10.253.40.13:44444
25_05_15:20,516,10.253.40.13:44444
25_05_15:25,516,10.253.40.13:44444
25_05_15:30,561,10.253.40.13:44444
25_05_15:35,562,10.253.40.13:44444
25_05_15:40,563,10.253.40.13:44444
25_05_15:45,507,10.253.40.13:44444
25_05_15:50,525,10.253.40.13:44444
25_05_15:55,511,10.253.40.13:44444
25_05_15:00,432,10.253.40.14:44444
25_05_15:05,438,10.253.40.14:44444
25_05_15:10,461,10.253.40.14:44444
25_05_15:15,468,10.253.40.14:44444
25_05_15:20,448,10.253.40.14:44444
25_05_15:25,427,10.253.40.14:44444
25_05_15:30,440,10.253.40.14:44444
25_05_15:35,478,10.253.40.14:44444
25_05_15:40,480,10.253.40.14:44444
25_05_15:45,464,10.253.40.14:44444
25_05_15:50,479,10.253.40.14:44444
25_05_15:55,484,10.253.40.14:44444
25_05_15:00,496,10.253.40.15:44444
25_05_15:05,499,10.253.40.15:44444
25_05_15:10,492,10.253.40.15:44444
25_05_15:15,540,10.253.40.15:44444
25_05_15:20,540,10.253.40.15:44444
25_05_15:25,530,10.253.40.15:44444
25_05_15:30,527,10.253.40.15:44444
25_05_15:35,538,10.253.40.15:44444
25_05_15:40,535,10.253.40.15:44444
25_05_15:45,535,10.253.40.15:44444
25_05_15:50,509,10.253.40.15:44444
25_05_15:55,517,10.253.40.15:44444
25_05_15:00,452,10.253.40.17:44444
25_05_15:05,451,10.253.40.17:44444
25_05_15:10,471,10.253.40.17:44444
25_05_15:15,453,10.253.40.17:44444
25_05_15:20,429,10.253.40.17:44444
25_05_15:25,420,10.253.40.17:44444
25_05_15:30,435,10.253.40.17:44444
25_05_15:35,484,10.253.40.17:44444
25_05_15:40,463,10.253.40.17:44444
25_05_15:45,465,10.253.40.17:44444
25_05_15:50,458,10.253.40.17:44444
25_05_15:55,469,10.253.40.17:44444
25_05_15:00,566,10.253.40.18:44444
25_05_15:05,555,10.253.40.18:44444
25_05_15:10,550,10.253.40.18:44444
25_05_15:15,547,10.253.40.18:44444
25_05_15:20,519,10.253.40.18:44444
25_05_15:25,512,10.253.40.18:44444
25_05_15:30,524,10.253.40.18:44444
25_05_15:35,532,10.253.40.18:44444
25_05_15:40,547,10.253.40.18:44444
25_05_15:45,547,10.253.40.18:44444
25_05_15:50,573,10.253.40.18:44444
25_05_15:55,567,10.253.40.18:44444
25_05_15:00,389,10.253.40.19:44444
25_05_15:05,399,10.253.40.19:44444
25_05_15:10,407,10.253.40.19:44444
25_05_15:15,431,10.253.40.19:44444
25_05_15:20,409,10.253.40.19:44444
25_05_15:25,411,10.253.40.19:44444
25_05_15:30,414,10.253.40.19:44444
25_05_15:35,430,10.253.40.19:44444
25_05_15:40,414,10.253.40.19:44444
25_05_15:45,405,10.253.40.19:44444
25_05_15:50,401,10.253.40.19:44444
25_05_15:55,386,10.253.40.19:44444
25_05_15:00,483,10.253.40.20:44444
25_05_15:05,508,10.253.40.20:44444
25_05_15:10,542,10.253.40.20:44444
25_05_15:15,548,10.253.40.20:44444
25_05_15:20,537,10.253.40.20:44444
25_05_15:25,524,10.253.40.20:44444
25_05_15:30,545,10.253.40.20:44444
25_05_15:35,554,10.253.40.20:44444
25_05_15:40,551,10.253.40.20:44444
25_05_15:45,544,10.253.40.20:44444
25_05_15:50,531,10.253.40.20:44444
25_05_15:55,548,10.253.40.20:44444
25_05_15:00,498,10.253.40.21:44444
25_05_15:05,530,10.253.40.21:44444
25_05_15:10,538,10.253.40.21:44444
25_05_15:15,533,10.253.40.21:44444
25_05_15:20,503,10.253.40.21:44444
25_05_15:25,499,10.253.40.21:44444
25_05_15:30,494,10.253.40.21:44444
25_05_15:35,511,10.253.40.21:44444
25_05_15:40,493,10.253.40.21:44444
25_05_15:45,485,10.253.40.21:44444
25_05_15:50,505,10.253.40.21:44444
25_05_15:55,506,10.253.40.21:44444
25_05_15:00,438,10.253.40.22:44444
25_05_15:05,474,10.253.40.22:44444
25_05_15:10,452,10.253.40.22:44444
25_05_15:15,449,10.253.40.22:44444
25_05_15:20,422,10.253.40.22:44444
25_05_15:25,451,10.253.40.22:44444
25_05_15:30,496,10.253.40.22:44444
25_05_15:35,514,10.253.40.22:44444
25_05_15:40,498,10.253.40.22:44444
25_05_15:45,487,10.253.40.22:44444
25_05_15:50,471,10.253.40.22:44444
25_05_15:55,448,10.253.40.22:44444
25_05_15:00,456,10.253.40.23:44444
25_05_15:05,487,10.253.40.23:44444
25_05_15:10,486,10.253.40.23:44444
25_05_15:15,509,10.253.40.23:44444
25_05_15:20,509,10.253.40.23:44444
25_05_15:25,499,10.253.40.23:44444
25_05_15:30,455,10.253.40.23:44444
25_05_15:35,478,10.253.40.23:44444
25_05_15:40,496,10.253.40.23:44444
25_05_15:45,514,10.253.40.23:44444
25_05_15:50,492,10.253.40.23:44444
25_05_15:55,498,10.253.40.23:44444
25_05_15:00,564,10.253.40.24:44444
25_05_15:05,584,10.253.40.24:44444
25_05_15:10,594,10.253.40.24:44444
25_05_15:15,612,10.253.40.24:44444
25_05_15:20,551,10.253.40.24:44444
25_05_15:25,530,10.253.40.24:44444
25_05_15:30,541,10.253.40.24:44444
25_05_15:35,563,10.253.40.24:44444
25_05_15:40,546,10.253.40.24:44444
25_05_15:45,529,10.253.40.24:44444
25_05_15:50,566,10.253.40.24:44444
25_05_15:55,564,10.253.40.24:44444
25_05_15:00,399,10.253.40.25:44444
25_05_15:05,416,10.253.40.25:44444
25_05_15:10,409,10.253.40.25:44444
25_05_15:15,412,10.253.40.25:44444
25_05_15:20,401,10.253.40.25:44444
25_05_15:25,406,10.253.40.25:44444
25_05_15:30,408,10.253.40.25:44444
25_05_15:35,449,10.253.40.25:44444
25_05_15:40,433,10.253.40.25:44444
25_05_15:45,424,10.253.40.25:44444
25_05_15:50,373,10.253.40.25:44444
25_05_15:55,396,10.253.40.25:44444
25_05_15:00,342,10.253.40.26:44444
25_05_15:05,428,10.253.40.26:44444
25_05_15:10,452,10.253.40.26:44444
25_05_15:15,431,10.253.40.26:44444
25_05_15:20,414,10.253.40.26:44444
25_05_15:25,369,10.253.40.26:44444
25_05_15:30,336,10.253.40.26:44444
25_05_15:35,348,10.253.40.26:44444
25_05_15:40,359,10.253.40.26:44444
25_05_15:45,365,10.253.40.26:44444
25_05_15:50,363,10.253.40.26:44444
25_05_15:55,358,10.253.40.26:44444
25_05_15:00,640,10.253.40.27:44444
25_05_15:05,693,10.253.40.27:44444
25_05_15:10,717,10.253.40.27:44444
25_05_15:15,749,10.253.40.27:44444
25_05_15:20,703,10.253.40.27:44444
25_05_15:25,648,10.253.40.27:44444
25_05_15:30,621,10.253.40.27:44444
25_05_15:35,632,10.253.40.27:44444
25_05_15:40,624,10.253.40.27:44444
25_05_15:45,608,10.253.40.27:44444
25_05_15:50,640,10.253.40.27:44444
25_05_15:55,654,10.253.40.27:44444
25_05_15:00,433,10.253.40.28:44444
25_05_15:05,482,10.253.40.28:44444
25_05_15:10,480,10.253.40.28:44444
25_05_15:15,478,10.253.40.28:44444
25_05_15:20,456,10.253.40.28:44444
25_05_15:25,436,10.253.40.28:44444
25_05_15:30,413,10.253.40.28:44444
25_05_15:35,394,10.253.40.28:44444
25_05_15:40,411,10.253.40.28:44444
25_05_15:45,415,10.253.40.28:44444
25_05_15:50,411,10.253.40.28:44444
25_05_15:55,397,10.253.40.28:44444
25_05_15:00,438,10.253.40.29:44444
25_05_15:05,477,10.253.40.29:44444
25_05_15:10,507,10.253.40.29:44444
25_05_15:15,488,10.253.40.29:44444
25_05_15:20,480,10.253.40.29:44444
25_05_15:25,473,10.253.40.29:44444
25_05_15:30,483,10.253.40.29:44444
25_05_15:35,488,10.253.40.29:44444
25_05_15:40,487,10.253.40.29:44444
25_05_15:45,490,10.253.40.29:44444
25_05_15:50,487,10.253.40.29:44444
25_05_15:55,525,10.253.40.29:44444
25_05_15:00,455,10.253.40.30:44444
25_05_15:05,450,10.253.40.30:44444
25_05_15:10,453,10.253.40.30:44444
25_05_15:15,448,10.253.40.30:44444
25_05_15:20,456,10.253.40.30:44444
25_05_15:25,470,10.253.40.30:44444
25_05_15:30,459,10.253.40.30:44444
25_05_15:35,449,10.253.40.30:44444
25_05_15:40,428,10.253.40.30:44444
25_05_15:45,442,10.253.40.30:44444
25_05_15:50,436,10.253.40.30:44444
25_05_15:55,446,10.253.40.30:44444
25_05_15:00,446,10.253.40.31:44444
25_05_15:05,502,10.253.40.31:44444
25_05_15:10,527,10.253.40.31:44444
25_05_15:15,474,10.253.40.31:44444
25_05_15:20,471,10.253.40.31:44444
25_05_15:25,456,10.253.40.31:44444
25_05_15:30,451,10.253.40.31:44444
25_05_15:35,471,10.253.40.31:44444
25_05_15:40,472,10.253.40.31:44444
25_05_15:45,488,10.253.40.31:44444
25_05_15:50,470,10.253.40.31:44444
25_05_15:55,479,10.253.40.31:44444
25_05_15:00,488,10.253.40.32:44444
25_05_15:05,575,10.253.40.32:44444
25_05_15:10,562,10.253.40.32:44444
25_05_15:15,562,10.253.40.32:44444
