time,abgw_account_lookup_errs_total,instance
25_05_15:15,12,10.253.40.17:44444
25_05_15:20,12,10.253.40.17:44444
25_05_15:25,12,10.253.40.17:44444
25_05_15:30,12,10.253.40.17:44444
25_05_15:35,12,10.253.40.17:44444
25_05_15:40,12,10.253.40.17:44444
25_05_15:45,12,10.253.40.17:44444
25_05_15:50,12,10.253.40.17:44444
25_05_15:55,12,10.253.40.17:44444
25_05_15:00,10,10.253.40.18:44444
25_05_15:05,10,10.253.40.18:44444
25_05_15:10,10,10.253.40.18:44444
25_05_15:15,10,10.253.40.18:44444
25_05_15:20,10,10.253.40.18:44444
25_05_15:25,10,10.253.40.18:44444
25_05_15:30,10,10.253.40.18:44444
25_05_15:35,10,10.253.40.18:44444
25_05_15:40,10,10.253.40.18:44444
25_05_15:45,10,10.253.40.18:44444
25_05_15:50,10,10.253.40.18:44444
25_05_15:55,10,10.253.40.18:44444
25_05_15:00,10,10.253.40.19:44444
25_05_15:05,10,10.253.40.19:44444
25_05_15:10,10,10.253.40.19:44444
25_05_15:15,10,10.253.40.19:44444
25_05_15:20,10,10.253.40.19:44444
25_05_15:25,10,10.253.40.19:44444
25_05_15:30,10,10.253.40.19:44444
25_05_15:35,10,10.253.40.19:44444
25_05_15:40,10,10.253.40.19:44444
25_05_15:45,10,10.253.40.19:44444
25_05_15:50,10,10.253.40.19:44444
25_05_15:55,10,10.253.40.19:44444
25_05_15:00,9,10.253.40.20:44444
25_05_15:05,9,10.253.40.20:44444
25_05_15:10,9,10.253.40.20:44444
25_05_15:15,9,10.253.40.20:44444
25_05_15:20,9,10.253.40.20:44444
25_05_15:25,9,10.253.40.20:44444
25_05_15:30,9,10.253.40.20:44444
25_05_15:35,9,10.253.40.20:44444
25_05_15:40,9,10.253.40.20:44444
25_05_15:45,9,10.253.40.20:44444
25_05_15:50,9,10.253.40.20:44444
25_05_15:55,9,10.253.40.20:44444
25_05_15:00,4,10.253.40.21:44444
25_05_15:05,4,10.253.40.21:44444
25_05_15:10,4,10.253.40.21:44444
25_05_15:15,4,10.253.40.21:44444
25_05_15:20,4,10.253.40.21:44444
25_05_15:25,4,10.253.40.21:44444
25_05_15:30,4,10.253.40.21:44444
25_05_15:35,4,10.253.40.21:44444
25_05_15:40,4,10.253.40.21:44444
25_05_15:45,4,10.253.40.21:44444
25_05_15:50,4,10.253.40.21:44444
25_05_15:55,4,10.253.40.21:44444
25_05_15:00,4,10.253.40.22:44444
25_05_15:05,4,10.253.40.22:44444
25_05_15:10,4,10.253.40.22:44444
25_05_15:15,4,10.253.40.22:44444
25_05_15:20,4,10.253.40.22:44444
25_05_15:25,4,10.253.40.22:44444
25_05_15:30,4,10.253.40.22:44444
25_05_15:35,4,10.253.40.22:44444
25_05_15:40,4,10.253.40.22:44444
25_05_15:45,4,10.253.40.22:44444
25_05_15:50,4,10.253.40.22:44444
25_05_15:55,4,10.253.40.22:44444
25_05_15:00,5,10.253.40.23:44444
25_05_15:05,5,10.253.40.23:44444
25_05_15:10,5,10.253.40.23:44444
25_05_15:15,5,10.253.40.23:44444
25_05_15:20,5,10.253.40.23:44444
25_05_15:25,5,10.253.40.23:44444
25_05_15:30,5,10.253.40.23:44444
25_05_15:35,5,10.253.40.23:44444
25_05_15:40,5,10.253.40.23:44444
25_05_15:45,5,10.253.40.23:44444
25_05_15:50,5,10.253.40.23:44444
25_05_15:55,5,10.253.40.23:44444
25_05_15:00,10,10.253.40.24:44444
25_05_15:05,10,10.253.40.24:44444
25_05_15:10,10,10.253.40.24:44444
25_05_15:15,10,10.253.40.24:44444
25_05_15:20,10,10.253.40.24:44444
25_05_15:25,10,10.253.40.24:44444
25_05_15:30,10,10.253.40.24:44444
25_05_15:35,10,10.253.40.24:44444
25_05_15:40,10,10.253.40.24:44444
25_05_15:45,10,10.253.40.24:44444
25_05_15:50,10,10.253.40.24:44444
25_05_15:55,10,10.253.40.24:44444
25_05_15:00,11,10.253.40.25:44444
25_05_15:05,11,10.253.40.25:44444
25_05_15:10,11,10.253.40.25:44444
25_05_15:15,11,10.253.40.25:44444
25_05_15:20,11,10.253.40.25:44444
25_05_15:25,11,10.253.40.25:44444
25_05_15:30,11,10.253.40.25:44444
25_05_15:35,11,10.253.40.25:44444
25_05_15:40,11,10.253.40.25:44444
25_05_15:45,11,10.253.40.25:44444
25_05_15:50,11,10.253.40.25:44444
25_05_15:55,11,10.253.40.25:44444
25_05_15:00,7,10.253.40.26:44444
25_05_15:05,7,10.253.40.26:44444
25_05_15:10,7,10.253.40.26:44444
25_05_15:15,7,10.253.40.26:44444
25_05_15:20,7,10.253.40.26:44444
25_05_15:25,7,10.253.40.26:44444
25_05_15:30,7,10.253.40.26:44444
25_05_15:35,7,10.253.40.26:44444
25_05_15:40,7,10.253.40.26:44444
25_05_15:45,7,10.253.40.26:44444
25_05_15:50,7,10.253.40.26:44444
25_05_15:55,7,10.253.40.26:44444
25_05_15:00,4,10.253.40.27:44444
25_05_15:05,4,10.253.40.27:44444
25_05_15:10,4,10.253.40.27:44444
25_05_15:15,4,10.253.40.27:44444
25_05_15:20,4,10.253.40.27:44444
25_05_15:25,4,10.253.40.27:44444
25_05_15:30,4,10.253.40.27:44444
25_05_15:35,4,10.253.40.27:44444
25_05_15:40,4,10.253.40.27:44444
25_05_15:45,4,10.253.40.27:44444
25_05_15:50,4,10.253.40.27:44444
25_05_15:55,4,10.253.40.27:44444
25_05_15:00,3,10.253.40.28:44444
25_05_15:05,3,10.253.40.28:44444
25_05_15:10,3,10.253.40.28:44444
25_05_15:15,3,10.253.40.28:44444
25_05_15:20,3,10.253.40.28:44444
25_05_15:25,3,10.253.40.28:44444
25_05_15:30,3,10.253.40.28:44444
25_05_15:35,3,10.253.40.28:44444
25_05_15:40,3,10.253.40.28:44444
25_05_15:45,3,10.253.40.28:44444
25_05_15:50,3,10.253.40.28:44444
25_05_15:55,3,10.253.40.28:44444
25_05_15:00,11,10.253.40.29:44444
25_05_15:05,11,10.253.40.29:44444
25_05_15:10,11,10.253.40.29:44444
25_05_15:15,11,10.253.40.29:44444
25_05_15:20,11,10.253.40.29:44444
25_05_15:25,11,10.253.40.29:44444
25_05_15:30,11,10.253.40.29:44444
25_05_15:35,11,10.253.40.29:44444
25_05_15:40,11,10.253.40.29:44444
25_05_15:45,11,10.253.40.29:44444
25_05_15:50,11,10.253.40.29:44444
25_05_15:55,11,10.253.40.29:44444
25_05_15:00,10,10.253.40.30:44444
25_05_15:05,10,10.253.40.30:44444
25_05_15:10,10,10.253.40.30:44444
25_05_15:15,10,10.253.40.30:44444
25_05_15:20,10,10.253.40.30:44444
25_05_15:25,10,10.253.40.30:44444
25_05_15:30,10,10.253.40.30:44444
25_05_15:35,10,10.253.40.30:44444
25_05_15:40,10,10.253.40.30:44444
25_05_15:45,10,10.253.40.30:44444
25_05_15:50,10,10.253.40.30:44444
25_05_15:55,10,10.253.40.30:44444
25_05_15:00,8,10.253.40.31:44444
25_05_15:05,8,10.253.40.31:44444
25_05_15:10,8,10.253.40.31:44444
25_05_15:15,8,10.253.40.31:44444
25_05_15:20,8,10.253.40.31:44444
25_05_15:25,8,10.253.40.31:44444
25_05_15:30,8,10.253.40.31:44444
25_05_15:35,8,10.253.40.31:44444
25_05_15:40,8,10.253.40.31:44444
25_05_15:45,8,10.253.40.31:44444
25_05_15:50,8,10.253.40.31:44444
25_05_15:55,8,10.253.40.31:44444
25_05_15:00,5,10.253.40.32:44444
25_05_15:05,5,10.253.40.32:44444
25_05_15:10,5,10.253.40.32:44444
25_05_15:15,5,10.253.40.32:44444
25_05_15:20,5,10.253.40.32:44444
25_05_15:25,5,10.253.40.32:44444
25_05_15:30,5,10.253.40.32:44444
25_05_15:35,5,10.253.40.32:44444
25_05_15:40,5,10.253.40.32:44444
25_05_15:45,5,10.253.40.32:44444
25_05_15:50,5,10.253.40.32:44444
25_05_15:55,5,10.253.40.32:44444
25_05_16:00,10,10.253.40.11:44444
25_05_16:05,10,10.253.40.11:44444
25_05_16:10,10,10.253.40.11:44444
25_05_16:15,10,10.253.40.11:44444
25_05_16:20,10,10.253.40.11:44444
25_05_16:25,10,10.253.40.11:44444
25_05_16:30,10,10.253.40.11:44444
25_05_16:35,10,10.253.40.11:44444
25_05_16:40,10,10.253.40.11:44444
25_05_16:45,10,10.253.40.11:44444
25_05_16:50,10,10.253.40.11:44444
25_05_16:55,10,10.253.40.11:44444
25_05_16:00,17,10.253.40.12:44444
25_05_16:05,17,10.253.40.12:44444
25_05_16:10,17,10.253.40.12:44444
25_05_16:15,17,10.253.40.12:44444
25_05_16:20,17,10.253.40.12:44444
25_05_16:25,17,10.253.40.12:44444
25_05_16:30,17,10.253.40.12:44444
25_05_16:35,17,10.253.40.12:44444
25_05_16:40,17,10.253.40.12:44444
25_05_16:45,17,10.253.40.12:44444
25_05_16:50,17,10.253.40.12:44444
25_05_16:55,17,10.253.40.12:44444
25_05_16:00,7,10.253.40.13:44444
25_05_16:05,7,10.253.40.13:44444
25_05_16:10,7,10.253.40.13:44444
25_05_16:15,7,10.253.40.13:44444
25_05_16:20,7,10.253.40.13:44444
25_05_16:25,7,10.253.40.13:44444
25_05_16:30,7,10.253.40.13:44444
25_05_16:35,7,10.253.40.13:44444
25_05_16:40,7,10.253.40.13:44444
25_05_16:45,7,10.253.40.13:44444
25_05_16:50,7,10.253.40.13:44444
25_05_16:55,7,10.253.40.13:44444
25_05_16:00,19,10.253.40.14:44444
25_05_16:05,19,10.253.40.14:44444
25_05_16:10,19,10.253.40.14:44444
25_05_16:15,19,10.253.40.14:44444
25_05_16:20,19,10.253.40.14:44444
25_05_16:25,19,10.253.40.14:44444
25_05_16:30,19,10.253.40.14:44444
25_05_16:35,19,10.253.40.14:44444
