time,abgw_detached_files,instance
25_05_14:05,0,10.253.40.34:44444
25_05_14:10,0,10.253.40.34:44444
25_05_14:15,0,10.253.40.34:44444
25_05_14:20,0,10.253.40.34:44444
25_05_14:25,0,10.253.40.34:44444
25_05_14:30,0,10.253.40.34:44444
25_05_14:35,0,10.253.40.34:44444
25_05_14:40,0,10.253.40.34:44444
25_05_14:45,0,10.253.40.34:44444
25_05_14:50,0,10.253.40.34:44444
25_05_14:55,0,10.253.40.34:44444
25_05_14:00,0,10.253.40.35:44444
25_05_14:05,0,10.253.40.35:44444
25_05_14:10,0,10.253.40.35:44444
25_05_14:15,0,10.253.40.35:44444
25_05_14:20,0,10.253.40.35:44444
25_05_14:25,0,10.253.40.35:44444
25_05_14:30,0,10.253.40.35:44444
25_05_14:35,0,10.253.40.35:44444
25_05_14:40,0,10.253.40.35:44444
25_05_14:45,0,10.253.40.35:44444
25_05_14:50,0,10.253.40.35:44444
25_05_14:55,0,10.253.40.35:44444
25_05_14:00,0,10.253.40.36:44444
25_05_14:05,0,10.253.40.36:44444
25_05_14:10,0,10.253.40.36:44444
25_05_14:15,0,10.253.40.36:44444
25_05_14:20,0,10.253.40.36:44444
25_05_14:25,0,10.253.40.36:44444
25_05_14:30,0,10.253.40.36:44444
25_05_14:35,0,10.253.40.36:44444
25_05_14:40,0,10.253.40.36:44444
25_05_14:45,0,10.253.40.36:44444
25_05_14:50,0,10.253.40.36:44444
25_05_14:55,0,10.253.40.36:44444
25_05_15:00,0,10.253.40.11:44444
25_05_15:05,0,10.253.40.11:44444
25_05_15:10,0,10.253.40.11:44444
25_05_15:15,0,10.253.40.11:44444
25_05_15:20,1,10.253.40.11:44444
25_05_15:25,0,10.253.40.11:44444
25_05_15:30,0,10.253.40.11:44444
25_05_15:35,0,10.253.40.11:44444
25_05_15:40,0,10.253.40.11:44444
25_05_15:45,0,10.253.40.11:44444
25_05_15:50,0,10.253.40.11:44444
25_05_15:55,0,10.253.40.11:44444
25_05_15:00,0,10.253.40.12:44444
25_05_15:05,0,10.253.40.12:44444
25_05_15:10,0,10.253.40.12:44444
25_05_15:15,1,10.253.40.12:44444
25_05_15:20,0,10.253.40.12:44444
25_05_15:25,0,10.253.40.12:44444
25_05_15:30,0,10.253.40.12:44444
25_05_15:35,0,10.253.40.12:44444
25_05_15:40,0,10.253.40.12:44444
25_05_15:45,0,10.253.40.12:44444
25_05_15:50,0,10.253.40.12:44444
25_05_15:55,0,10.253.40.12:44444
25_05_15:00,0,10.253.40.13:44444
25_05_15:05,1,10.253.40.13:44444
25_05_15:10,0,10.253.40.13:44444
25_05_15:15,0,10.253.40.13:44444
25_05_15:20,0,10.253.40.13:44444
25_05_15:25,0,10.253.40.13:44444
25_05_15:30,0,10.253.40.13:44444
25_05_15:35,0,10.253.40.13:44444
25_05_15:40,0,10.253.40.13:44444
25_05_15:45,0,10.253.40.13:44444
25_05_15:50,0,10.253.40.13:44444
25_05_15:55,0,10.253.40.13:44444
25_05_15:00,0,10.253.40.14:44444
25_05_15:05,0,10.253.40.14:44444
25_05_15:10,0,10.253.40.14:44444
25_05_15:15,1,10.253.40.14:44444
25_05_15:20,0,10.253.40.14:44444
25_05_15:25,1,10.253.40.14:44444
25_05_15:30,0,10.253.40.14:44444
25_05_15:35,0,10.253.40.14:44444
25_05_15:40,0,10.253.40.14:44444
25_05_15:45,0,10.253.40.14:44444
